pta_id,agreement_name,year,total_words,n_articles,n_chapters,hard_p1k_mean,soft_p1k_mean,enf_p1k_mean,oblig_ratio,total_words_norm,n_articles_norm,hard_p1k_mean_norm,enf_p1k_mean_norm,CCI_pilot
32,Economic Community of West African States (ECOWAS),1993,12224.0,95.0,24.0,17.5065445026178,8.507853403141361,2.945026178010471,1.5809998710931301,0.07949365337391484,0.1854043392504931,0.5438203185919571,0.09550479742938679,0.22605577716143796
33,EFTA - Tunisia,2004,5708.0,48.0,12.0,20.8479327259986,9.110021023125437,9.4604064470918,1.4883818033169822,0.03442050288797427,0.09270216962524656,0.6476166336161266,0.30679326658465944,0.27038314317850176
34,Japan - Mexico,2004,31018.0,179.0,20.0,18.118511831839577,10.671223160745374,11.960796956605842,1.5088177643814693,0.20949745789091412,0.3510848126232742,0.5628303675422506,0.38787889186314917,0.37782288247989704
36,Thailand - Australia,2004,25957.0,164.0,21.0,18.569172092306506,8.437030473475364,10.825596178294873,1.90335237205253,0.1744889841939612,0.32149901380670615,0.5768296011652658,0.3510652563227299,0.3559707138721658
37,US - Australia,2004,60601.0,248.0,25.0,15.181267635847593,8.811735779937624,7.970165508819987,1.6124067391817851,0.41413205132639297,0.48717948717948717,0.47158831379441457,0.258465968174437,0.4078414551186829
38,ASEAN - China,2004,3053.0,25.0,3.0,20.30789387487717,4.585653455617425,2.6203734032099573,2.6887869854787643,0.016055061736934943,0.047337278106508875,0.6308409586663971,0.08497657268092033,0.1948024677976903
39,EFTA - Chile,2003,15954.0,110.0,14.0,20.747148050645606,8.96326939952363,15.293970164222138,1.9959286357368344,0.10529519593262546,0.21499013806706113,0.6444858756157996,0.49597098094790765,0.3651855476408485
40,EU - Egypt,2001,9401.0,93.0,15.0,23.295394107009894,7.552388043825125,3.616636528028933,2.003488990532922,0.059966105212188286,0.1814595660749507,0.7236441573666903,0.11728457341539322,0.2705886005173056
41,Southern African Development Community (SADC),1996,3778.0,41.0,10.0,20.910534674430917,8.99947061937533,3.440974060349391,1.4762749250044116,0.021070106872341163,0.07889546351084814,0.6495612898865774,0.11158798283261803,0.21527871077559618
42,Armenia - Turkmenistan,1995,1619.0,19.0,3.0,19.765287214329835,7.4119827053736875,7.4119827053736875,1.4042618900555899,0.0061356483242831945,0.03550295857988166,0.6139855177217353,0.24036455502919996,0.22399716991377502
43,Armenia - Russian Federation,1992,2049.0,23.0,3.0,16.593460224499754,6.34455832113226,7.320644216691069,1.8667642752562226,0.00911008888735171,0.04339250493096647,0.5154564239950987,0.23740252232325204,0.20134038503416724
44,Armenia - Moldova,1993,1752.0,21.0,3.0,18.264840182648403,6.8493150684931505,6.8493150684931505,1.6035007610350076,0.007055649707743921,0.03944773175542406,0.5673758865248226,0.22211770239285086,0.20899924259521038
45,Armenia - Kazakhstan,1999,1911.0,20.0,3.0,17.791732077446362,4.7095761381475665,7.326007326007326,1.7124542124542124,0.008155500985715767,0.03747534516765286,0.5526793368738656,0.2375764435850273,0.20897165665306539
46,Armenia - Ukraine,1994,1289.0,15.0,3.0,20.17067494181536,6.982156710628394,5.430566330488751,1.1620118955262477,0.0038529381247189853,0.027613412228796846,0.6265784130861792,0.17610883773893993,0.20853840029465875
47,"Korea, Republic of - Chile",2003,37259.0,217.0,23.0,15.539869561716632,8.427494028288468,11.997101371480715,1.5650313134920881,0.25266834987721787,0.4260355029585799,0.4827278629809847,0.3890562144330828,0.3876219825624664
48,Central European Free Trade Agreement (CEFTA) - Accession of Croatia,2002,1241.0,11.0,3.0,16.116035455278002,0.8058017727639001,0.0,2.6390008058017727,0.003520907550236917,0.01972386587771203,0.5006257822277846,0.0,0.1309676389139334
50,"China - Macao, China",2003,1703.0,25.0,8.0,12.918379330593071,10.569583088667057,1.7615971814445097,0.5405656684282639,0.006716701829626812,0.047337278106508875,0.40129433665246556,0.057127160098689775,0.12811886917182275
51,"China - Hong Kong, China",2003,2823.0,23.0,7.0,10.272759475735034,8.147360963513993,1.0626992561105206,0.8014641634195301,0.014464081900875038,0.04339250493096647,0.3191112517994287,0.034462470296871654,0.10285757723203547
52,US - Singapore,2003,57899.0,222.0,23.0,16.20062522668785,8.031226791481718,12.090018825886457,1.9710020260774594,0.39544149690450664,0.4358974358974359,0.5032534644886013,0.392069451709863,0.4316654622501017
53,US - Chile,2003,37875.0,162.0,14.0,13.914191419141915,8.475247524752476,10.71947194719472,1.4021552100264971,0.25692940891640437,0.3175542406311637,0.43222807387121687,0.3476237340472245,0.3385838643665024
54,Singapore - Australia,2003,30303.0,198.0,19.0,17.556017556017554,6.897006897006897,8.25000825000825,1.9573855252426682,0.20455158579185834,0.388560157790927,0.5453571411018219,0.26754104007322893,0.35150248118945904
55,Turkey - Bosnia and Herzegovina,2002,4745.0,37.0,4.0,22.339304531085354,9.69441517386723,4.004214963119073,1.7494731296101158,0.027759139487427798,0.07100591715976332,0.6939443535188216,0.12985342601428204,0.2306407090450737
56,Turkey - Croatia,2002,3831.0,39.0,6.0,22.709475332811277,9.919081179848604,4.176455233620465,1.3109066388236315,0.021436723964998444,0.07495069033530573,0.7054432762958396,0.13543903753320274,0.23431743203233663
57,EU - Lebanon,2002,4701.0,44.0,10.0,24.250159540523292,7.657945118059987,5.105296745373325,1.6737750833156064,0.027454778127485906,0.08481262327416174,0.7533028282800852,0.16556061033493927,0.257782710004168
