pta_id,agreement_name,year,total_words,n_articles,n_chapters,hard_p1k_mean,soft_p1k_mean,mixed_p1k_mean,enf_p1k_mean,oblig_ratio,hard_total,soft_total,oblig_ratio_core,n_tig_articles,template_flag,template_exporter,is_template,is_us_tpa,is_eu_template,is_plurilateral,n_g20_parties,asymmetry_type,alschner_cluster,d_us_tpa,d_eu_template,d_other_template,d_plurilateral,d_symmetric,d_eastern_european,d_central_asian,d_modern_global
38,ASEAN - China,2004,3053.0,25.0,3.0,19.980347199475926,0.0,0.32754667540124466,2.2928267278087127,6.025221094005896,61.0,1.0,,,china_template,CHN,True,False,False,True,2,plurilateral_template,modern_global,0,0,1,1,0,0,0,1
39,EFTA - Chile,2003,15954.0,110.0,13.0,19.117462705277674,1.2536041118214867,0.5014416447285948,13.977685846809578,3.607795328235343,305.0,28.0,6.554156954156955,15.0,none,,False,False,False,True,0,plurilateral_symmetric,modern_global,0,0,0,1,0,0,0,1
40,EU - Egypt,2001,9401.0,93.0,12.0,21.699819168173597,1.4892032762472078,1.2764599510690353,3.5102648654398467,5.9842304010211675,204.0,26.0,26.131136516476126,5.0,none,,False,False,False,True,4,plurilateral_symmetric,modern_global,0,0,0,1,0,0,0,1
41,Southern African Development Community (SADC),1996,3778.0,41.0,9.0,20.645844362096348,0.5293806246691372,0.5293806246691372,3.1762837480148227,2.663843303335098,78.0,4.0,2.526439482961222,9.0,none,,False,False,False,True,1,plurilateral_symmetric,modern_global,0,0,0,1,0,0,0,1
42,Armenia - Turkmenistan,1995,1619.0,19.0,3.0,17.912291537986412,0.6176652254478073,1.8529956763434219,6.79431747992588,2.0145151327980235,29.0,4.0,,,none,,False,False,False,False,0,bilateral_symmetric,central_asian,0,0,0,0,1,0,1,0
43,Armenia - Russian Federation,1992,2049.0,23.0,3.0,15.129331381161542,0.0,1.4641288433382138,7.320644216691068,1.8530990727183991,31.0,3.0,,,none,,False,False,False,False,1,bilateral_asymmetric,central_asian,0,0,0,0,0,0,1,0
44,Armenia - Moldova,1993,1752.0,21.0,3.0,16.552511415525114,0.0,1.7123287671232876,6.2785388127853885,1.865582191780822,29.0,3.0,,,none,,False,False,False,False,0,bilateral_symmetric,central_asian,0,0,0,0,1,0,1,0
45,Armenia - Kazakhstan,1999,1911.0,20.0,3.0,16.745159602302458,0.523286237571952,0.0,7.326007326007326,2.381475667189953,32.0,1.0,,,none,,False,False,False,False,0,bilateral_symmetric,central_asian,0,0,0,0,1,0,1,0
46,Armenia - Ukraine,1994,1289.0,15.0,3.0,17.843289371605895,0.0,1.5515903801396431,4.654771140418929,1.6202482544608223,23.0,2.0,,,none,,False,False,False,False,0,bilateral_symmetric,central_asian,0,0,0,0,1,0,1,0
47,"Korea, Republic of - Chile",2003,37259.0,217.0,19.0,14.090555302074666,1.1272444241659734,0.40258729434499047,11.004052712096406,3.712403267219553,525.0,57.0,3.5314222712238146,13.0,none,,False,False,False,False,1,bilateral_asymmetric,modern_global,0,0,0,0,0,0,0,1
48,Central European Free Trade Agreement (CEFTA) - Accession of Croatia,2002,1241.0,11.0,3.0,16.116035455278002,0.0,0.0,0.0,2.6390008058017727,20.0,0.0,,,none,,False,False,False,False,0,bilateral_symmetric,modern_global,0,0,0,0,1,0,0,1
50,"China - Macao, China",2003,1703.0,25.0,8.0,10.569583088667057,0.5871990604815032,2.348796241926013,1.1743981209630066,1.161773341162654,18.0,5.0,0.7891156462585034,5.0,china_template,CHN,True,False,False,False,1,bilateral_asymmetric,modern_global,0,0,1,0,0,0,0,1
51,"China - Hong Kong, China",2003,2823.0,23.0,7.0,8.855827134254339,1.0626992561105206,1.4169323414806942,0.7084661707403471,1.583599008147361,25.0,7.0,0.7926421404682275,5.0,china_template,CHN,True,False,False,False,1,bilateral_asymmetric,modern_global,0,0,1,0,0,0,0,1
52,US - Singapore,2003,57899.0,222.0,21.0,14.387122402804884,1.3471735263130624,0.621772396759875,11.260988963539958,4.8995551366542225,833.0,114.0,3.6987882285054816,13.0,us_tpa_template,USA,True,True,False,False,1,bilateral_asymmetric,modern_global,1,0,0,0,0,0,0,1
53,US - Chile,2003,37875.0,162.0,11.0,12.409240924092408,0.8712871287128713,0.5544554455445545,9.029702970297029,3.228517303158887,470.0,54.0,4.715557316428948,24.0,us_tpa_template,USA,True,True,False,False,1,bilateral_asymmetric,modern_global,1,0,0,0,0,0,0,1
54,Singapore - Australia,2003,30303.0,198.0,16.0,15.18001518001518,0.825000825000825,0.726000726000726,10.56001056001056,3.1918786918786917,460.0,47.0,3.5491861288039632,13.0,none,,False,False,False,False,1,bilateral_asymmetric,modern_global,0,0,0,0,0,0,0,1
55,Turkey - Bosnia and Herzegovina,2002,4745.0,37.0,4.0,21.07481559536354,0.0,0.6322444678609063,3.582718651211802,3.3650158061116966,100.0,3.0,,,none,,False,False,False,False,1,bilateral_asymmetric,modern_global,0,0,0,0,0,0,0,1
56,Turkey - Croatia,2002,3831.0,39.0,6.0,21.665361524406162,0.26102845210127906,0.5220569042025581,3.3933698773166276,2.774862960062647,83.0,3.0,2.0653753026634383,7.0,none,,False,False,False,False,0,bilateral_symmetric,modern_global,0,0,0,0,1,0,0,1
57,EU - Lebanon,2002,4701.0,44.0,10.0,23.18655605190385,0.21272069772388855,0.0,5.318017443097213,3.608593916188045,109.0,1.0,7.703703703703703,5.0,none,,False,False,False,True,4,plurilateral_symmetric,modern_global,0,0,0,1,0,0,0,1
