pta_id,name,parties,n_parties,year,date_signed,date_into_force,status,type,notification,composition,region,crossregional,parties_wto,language,wto_rta_id
64,India - Sri Lanka,"['IND', 'LKA']",2,1998,1998-12-28,2001-12-15,In Force,Free Trade Agreement,Enabling Clause,Bilateral,West Asia,No,Yes,en,72.0
65,EU - Mexico,"['AUT', 'BEL', 'BGR', 'CYP', 'CZE', 'DEU', 'DNK', 'ESP', 'EST', 'FIN', 'FRA', 'GBR', 'GRC', 'HRV', 'HUN', 'IRL', 'ITA', 'LTU', 'LUX', 'LVA', 'MEX', 'MLT', 'NLD', 'POL', 'PRT', 'ROU', 'SVK', 'SVN', 'SWE']",29,1997,1997-12-08,2000-07-01,In Force,Free Trade Agreement & Economic Integration Agreement,GATT Art. XXIV & GATS Art. V,Bilateral; One Party is an RTA,Europe; North America,Yes,Yes,en,73.0
66,EFTA - Jordan,"['CHE', 'ISL', 'JOR', 'LIE', 'NOR']",5,2001,2001-06-21,2002-09-01,In Force,Free Trade Agreement,GATT Art. XXIV,Bilateral; One Party is an RTA,Europe; Middle East,Yes,Yes,en,75.0
67,EFTA - Croatia,[],0,2001,2001-06-21,2002-04-01,Inactive,Free Trade Agreement,GATT Art. XXIV,Plurilateral,Europe,No,Yes,en,76.0
68,EU - Former Yugoslav Republic of Macedonia,"['AUT', 'BEL', 'BGR', 'CYP', 'CZE', 'DEU', 'DNK', 'ESP', 'EST', 'FIN', 'FRA', 'GBR', 'GRC', 'HRV', 'HUN', 'IRL', 'ITA', 'LTU', 'LUX', 'LVA', 'MKD', 'MLT', 'NLD', 'POL', 'PRT', 'ROU', 'SVK', 'SVN', 'SWE']",29,2001,2001-04-09,2001-06-01,In Force,Free Trade Agreement & Economic Integration Agreement,GATT Art. XXIV & GATS Art. V,Bilateral; One Party is an RTA,Europe,No,Yes,en,77.0
69,New Zealand - Singapore,"['NZL', 'SGP']",2,2000,2000-11-14,2001-01-01,In Force,Free Trade Agreement & Economic Integration Agreement,GATT Art. XXIV & GATS Art. V,Bilateral,Oceania; East Asia,Yes,Yes,en,78.0
70,EFTA - Mexico,"['CHE', 'ISL', 'LIE', 'MEX', 'NOR']",5,2000,2000-11-27,2001-07-01,In Force,Free Trade Agreement & Economic Integration Agreement,GATT Art. XXIV & GATS Art. V,Bilateral; One Party is an RTA,Europe; North America,Yes,Yes,en,79.0
71,Chile - Mexico,"['CHL', 'MEX']",2,1998,1998-04-17,1999-08-01,In Force,Free Trade Agreement & Economic Integration Agreement,GATT Art. XXIV & GATS Art. V,Bilateral,South America; North America,Yes,Yes,es,80.0
72,Israel - Mexico,"['ISR', 'MEX']",2,2000,2000-04-10,2000-07-01,In Force,Free Trade Agreement,GATT Art. XXIV,Bilateral,Middle East; North America,Yes,Yes,en,81.0
73,Georgia - Armenia,"['ARM', 'GEO']",2,1995,1995-08-14,1998-11-11,In Force,Free Trade Agreement,GATT Art. XXIV,Bilateral,Commonwealth of Independent States (CIS),No,Yes,en,82.0
74,Georgia - Azerbaijan,"['AZE', 'GEO']",2,1996,1996-03-08,1996-07-10,In Force,Free Trade Agreement,GATT Art. XXIV,Bilateral,Commonwealth of Independent States (CIS),No,No,en,83.0
75,Georgia - Kazakhstan,"['GEO', 'KAZ']",2,1997,1997-11-11,1999-07-16,In Force,Free Trade Agreement,GATT Art. XXIV,Bilateral,Commonwealth of Independent States (CIS),No,Yes,en,84.0
76,Georgia - Russian Federation,"['GEO', 'RUS']",2,1994,1994-02-03,1994-05-10,In Force,Free Trade Agreement,GATT Art. XXIV,Bilateral,Commonwealth of Independent States (CIS),No,Yes,en,85.0
