pta_id,name,parties,n_parties,year,date_signed,date_into_force,status,type,notification,composition,region,crossregional,parties_wto,language,wto_rta_id
91,Kyrgyz Republic - Kazakhstan,"['KAZ', 'KGZ']",2,1995,1995-06-22,1995-11-11,In Force,Free Trade Agreement,GATT Art. XXIV,Bilateral,Commonwealth of Independent States (CIS),No,Yes,en,100.0
92,EFTA - Palestinian Authority,"['CHE', 'ISL', 'LIE', 'NOR', 'PSE']",5,1998,1998-11-30,1999-07-01,In Force,Free Trade Agreement,GATT Art. XXIV,Bilateral; One Party is an RTA,Europe; Middle East,Yes,No,en,101.0
93,Kyrgyz Republic - Moldova,"['KGZ', 'MDA']",2,1995,1995-05-16,1996-11-21,In Force,Free Trade Agreement,GATT Art. XXIV,Bilateral,Commonwealth of Independent States (CIS),No,Yes,en,102.0
94,Kyrgyz Republic - Russian Federation,"['KGZ', 'RUS']",2,1992,1992-10-08,1993-04-24,Inactive,Free Trade Agreement,GATT Art. XXIV,Bilateral,Commonwealth of Independent States (CIS),No,Yes,en,103.0
95,Kyrgyz Republic - Ukraine,"['KGZ', 'UKR']",2,1995,1995-05-26,1998-01-19,In Force,Free Trade Agreement,GATT Art. XXIV,Bilateral,Commonwealth of Independent States (CIS),No,Yes,en,104.0
96,Kyrgyz Republic - Uzbekistan,"['KGZ', 'UZB']",2,1996,1996-12-24,1998-03-20,In Force,Free Trade Agreement,GATT Art. XXIV,Bilateral,Commonwealth of Independent States (CIS),No,No,en,105.0
97,Eurasian Economic Community (EAEC),"['BLR', 'KAZ', 'KGZ', 'RUS', 'TJK']",5,1996,1996-03-29,1997-10-08,Inactive,Customs Union,GATT Art. XXIV,Plurilateral,Commonwealth of Independent States (CIS),No,No,en,106.0
98,EU - Tunisia,"['AUT', 'BEL', 'BGR', 'CYP', 'CZE', 'DEU', 'DNK', 'ESP', 'EST', 'FIN', 'FRA', 'GBR', 'GRC', 'HRV', 'HUN', 'IRL', 'ITA', 'LTU', 'LUX', 'LVA', 'MLT', 'NLD', 'POL', 'PRT', 'ROU', 'SVK', 'SVN', 'SWE', 'TUN']",29,1995,1995-07-07,1998-03-01,In Force,Free Trade Agreement,GATT Art. XXIV,Bilateral; One Party is an RTA,Europe; Africa,Yes,Yes,en,107.0
99,Turkey - Israel,"['ISR', 'TUR']",2,1996,1996-03-14,1997-05-01,In Force,Free Trade Agreement,GATT Art. XXIV,Bilateral,Middle East; Europe,Yes,Yes,en,108.0
100,EU - Andorra,"['AND', 'AUT', 'BEL', 'BGR', 'CYP', 'CZE', 'DEU', 'DNK', 'ESP', 'EST', 'FIN', 'FRA', 'GBR', 'GRC', 'HRV', 'HUN', 'IRL', 'ITA', 'LTU', 'LUX', 'LVA', 'MLT', 'NLD', 'POL', 'PRT', 'ROU', 'SVK', 'SVN', 'SWE']",29,1991,1991-06-28,1991-07-01,In Force,Customs Union,GATT Art. XXIV,Bilateral; One Party is an RTA,Europe,No,No,en,109.0
101,Canada - Chile,"['CAN', 'CHL']",2,1996,1996-12-05,1997-07-05,In Force,Free Trade Agreement & Economic Integration Agreement,GATT Art. XXIV & GATS Art. V,Bilateral,North America; South America,Yes,Yes,en,110.0
102,EU - Palestinian Authority,"['AUT', 'BEL', 'BGR', 'CYP', 'CZE', 'DEU', 'DNK', 'ESP', 'EST', 'FIN', 'FRA', 'GBR', 'GRC', 'HRV', 'HUN', 'IRL', 'ITA', 'LTU', 'LUX', 'LVA', 'MLT', 'NLD', 'POL', 'PRT', 'PSE', 'ROU', 'SVK', 'SVN', 'SWE']",29,1997,1997-02-24,1997-07-01,In Force,Free Trade Agreement,GATT Art. XXIV,Bilateral; One Party is an RTA,Europe; Middle East,Yes,No,en,111.0
103,EU - Faroe Islands,"['AUT', 'BEL', 'BGR', 'CYP', 'CZE', 'DEU', 'DNK', 'ESP', 'EST', 'FIN', 'FRA', 'FRO', 'GBR', 'GRC', 'HRV', 'HUN', 'IRL', 'ITA', 'LTU', 'LUX', 'LVA', 'MLT', 'NLD', 'POL', 'PRT', 'ROU', 'SVK', 'SVN', 'SWE']",29,1996,1996-12-06,1997-01-01,In Force,Free Trade Agreement,GATT Art. XXIV,Bilateral; One Party is an RTA,Europe,No,No,en,112.0
104,Canada - Israel,"['CAN', 'ISR']",2,1996,1996-07-31,1997-01-01,In Force,Free Trade Agreement,GATT Art. XXIV,Bilateral,North America; Middle East,Yes,Yes,en,113.0
105,European Economic Area (EEA),"['AUT', 'BEL', 'BGR', 'CYP', 'CZE', 'DEU', 'DNK', 'ESP', 'EST', 'FIN', 'FRA', 'GBR', 'GRC', 'HRV', 'HUN', 'IRL', 'ISL', 'ITA', 'LIE', 'LTU', 'LUX', 'LVA', 'MLT', 'NLD', 'NOR', 'POL', 'PRT', 'ROU', 'SVK', 'SVN', 'SWE']",31,1992,1992-05-02,1994-01-01,In Force,Economic Integration Agreement,GATS Art. V,Plurilateral; One Party is an RTA,Europe,No,Yes,en,114.0
106,Faroe Islands - Norway,"['FRO', 'NOR']",2,1992,1992-08-28,1993-07-01,In Force,Free Trade Agreement,GATT Art. XXIV,Bilateral,Europe,No,No,en,115.0
107,Faroe Islands - Switzerland,"['CHE', 'FRO']",2,1994,1994-01-12,1995-03-01,In Force,Free Trade Agreement,GATT Art. XXIV,Bilateral,Europe,No,No,en,116.0
108,Faeroe Islands - Iceland,[],0,1992,1992-08-06,1993-07-01,Inactive,Free Trade Agreement,GATT Art. XXIV,Bilateral,Europe,No,No,en,117.0
109,EU - Turkey,"['AUT', 'BEL', 'BGR', 'CYP', 'CZE', 'DEU', 'DNK', 'ESP', 'EST', 'FIN', 'FRA', 'GBR', 'GRC', 'HRV', 'HUN', 'IRL', 'ITA', 'LTU', 'LUX', 'LVA', 'MLT', 'NLD', 'POL', 'PRT', 'ROU', 'SVK', 'SVN', 'SWE', 'TUR']",29,1995,1995-03-06,1996-01-01,In Force,Customs Union,GATT Art. XXIV,Bilateral; One Party is an RTA,Europe,No,Yes,en,118.0
110,EC Treaty,"['AUT', 'BEL', 'BGR', 'CYP', 'CZE', 'DEU', 'DNK', 'ESP', 'EST', 'FIN', 'FRA', 'GBR', 'GRC', 'HRV', 'HUN', 'IRL', 'ITA', 'LTU', 'LUX', 'LVA', 'MLT', 'NLD', 'POL', 'PRT', 'ROU', 'SVK', 'SVN', 'SWE']",28,1957,1957-03-25,1958-01-01,In Force,Customs Union & Economic Integration Agreement,GATT Art. XXIV & GATS Art. V,Plurilateral,Europe,No,Yes,en,120.0
111,Common Market for Eastern and Southern Africa (COMESA),"['AGO', 'BDI', 'COM', 'EGY', 'ERI', 'ETH', 'KEN', 'LSO', 'MUS', 'MWI', 'RWA', 'SDN', 'SWZ', 'TZA', 'UGA', 'ZMB', 'ZWE']",17,1993,1993-11-05,1994-12-08,In Force,Customs Union,Enabling Clause,Plurilateral,Africa,No,No,en,121.0
112,North American Free Trade Agreement (NAFTA),"['CAN', 'MEX', 'USA']",3,1992,1992-12-17,1994-01-01,In Force,Free Trade Agreement & Economic Integration Agreement,GATT Art. XXIV & GATS Art. V,Plurilateral,North America,No,Yes,en,122.0
113,South Asian Preferential Trade Arrangement (SAPTA),"['BGD', 'BTN', 'IND', 'LKA', 'MDV', 'NPL', 'PAK']",7,1993,1993-04-11,1995-12-07,In Force,Partial Scope Agreement,Enabling Clause,Plurilateral,West Asia,No,No,en,124.0
114,EFTA - Israel,"['CHE', 'ISL', 'ISR', 'LIE', 'NOR']",5,1992,1992-09-17,1993-01-01,In Force,Free Trade Agreement,GATT Art. XXIV,Bilateral; One Party is an RTA,Europe; Middle East,Yes,Yes,en,125.0
115,ASEAN Free Trade Area (AFTA),"['BRN', 'IDN', 'KHM', 'LAO', 'MMR', 'MYS', 'PHL', 'SGP', 'THA', 'VNM']",10,1992,1992-01-28,1993-01-01,In Force,Free Trade Agreement,Enabling Clause,Plurilateral,East Asia,No,Yes,en,126.0
116,Andean Community (CAN),"['BOL', 'COL', 'ECU', 'PER', 'VEN']",5,1987,1987-05-12,1988-05-25,In Force,Customs Union,Enabling Clause,Plurilateral,South America,No,Yes,en,127.0
117,Economic Cooperation Organization (ECO),"['IRN', 'PAK', 'TUR']",3,2003,2003-07-17,1992-02-17,In Force,Partial Scope Agreement,Enabling Clause,Plurilateral,Middle East; West Asia; Europe,Yes,No,en,128.0
118,EFTA - Turkey,"['CHE', 'ISL', 'LIE', 'NOR', 'TUR']",5,1991,1991-12-10,1992-04-01,In Force,Free Trade Agreement,GATT Art. XXIV,Bilateral; One Party is an RTA,Europe,No,Yes,en,129.0
119,Southern Common Market (MERCOSUR),"['ARG', 'BRA', 'PRY', 'URY']",4,1991,1991-03-26,1991-11-29,In Force,Customs Union & Economic Integration Agreement,Enabling Clause & GATS Art. V,Plurilateral,South America,No,Yes,en,130.0
120,Lao People's Democratic Republic - Thailand,"['LAO', 'THA']",2,1991,1991-06-20,1991-06-20,In Force,Partial Scope Agreement,Enabling Clause,Bilateral,East Asia,No,Yes,en,131.0
121,US - Israel,"['ISR', 'USA']",2,1985,1985-04-22,1985-08-19,In Force,Free Trade Agreement,GATT Art. XXIV,Bilateral,Middle East; North America,Yes,Yes,en,133.0
122,Australia - New Zealand (ANZCERTA),"['AUS', 'NZL']",2,1982,1982-12-14,1983-01-01,In Force,Free Trade Agreement & Economic Integration Agreement,GATT Art. XXIV & GATS Art. V,Bilateral,Oceania,No,Yes,en,134.0
123,Latin American Integration Association (LAIA),"['ARG', 'BOL', 'BRA', 'CHL', 'COL', 'CUB', 'ECU', 'MEX', 'PER', 'PRY', 'URY', 'VEN']",12,1980,1980-08-12,1981-03-18,In Force,Partial Scope Agreement,Enabling Clause,Plurilateral,South America; Caribbean; North America,Yes,Yes,es,135.0
124,South Pacific Regional Trade and Economic Cooperation Agreement (SPARTECA),"['AUS', 'COK', 'FJI', 'FSM', 'KIR', 'MHL', 'NIU', 'NRU', 'NZL', 'PNG', 'SLB', 'TON', 'TUV', 'VUT', 'WSM']",15,1980,1980-07-14,1981-01-01,In Force,Partial Scope Agreement,Enabling Clause,Plurilateral,Oceania,No,No,en,136.0
125,EU - Syria,"['AUT', 'BEL', 'BGR', 'CYP', 'CZE', 'DEU', 'DNK', 'ESP', 'EST', 'FIN', 'FRA', 'GBR', 'GRC', 'HRV', 'HUN', 'IRL', 'ITA', 'LTU', 'LUX', 'LVA', 'MLT', 'NLD', 'POL', 'PRT', 'ROU', 'SVK', 'SVN', 'SWE', 'SYR']",29,1977,1977-01-18,1977-07-01,In Force,Free Trade Agreement,GATT Art. XXIV,Bilateral; One Party is an RTA,Europe; Middle East,Yes,No,en,138.0
126,Australia - Papua New Guinea (PATCRA),"['AUS', 'PNG']",2,1976,1976-11-06,1977-02-01,In Force,Free Trade Agreement,GATT Art. XXIV,Bilateral,Oceania,No,Yes,en,139.0
127,Asia Pacific Trade Agreement (APTA),"['BGD', 'CHN', 'IND', 'KOR', 'LAO', 'LKA']",6,1975,1975-07-31,1976-06-17,In Force,Partial Scope Agreement,Enabling Clause,Plurilateral,West Asia; East Asia,Yes,Yes,en,140.0
128,Caribbean Community and Common Market (CARICOM),"['ATG', 'BHS', 'BLZ', 'BRB', 'DMA', 'GRD', 'GUY', 'HTI', 'JAM', 'KNA', 'LCA', 'MSR', 'SUR', 'TTO', 'VCT']",15,1973,1973-07-04,1973-08-01,In Force,Customs Union & Economic Integration Agreement,GATT Art. XXIV & GATS Art. V,Plurilateral,Caribbean; Central America; South America,Yes,No,en,141.0
129,EU - Norway,"['AUT', 'BEL', 'BGR', 'CYP', 'CZE', 'DEU', 'DNK', 'ESP', 'EST', 'FIN', 'FRA', 'GBR', 'GRC', 'HRV', 'HUN', 'IRL', 'ITA', 'LTU', 'LUX', 'LVA', 'MLT', 'NLD', 'NOR', 'POL', 'PRT', 'ROU', 'SVK', 'SVN', 'SWE']",29,1973,1973-05-14,1973-07-01,In Force,Free Trade Agreement,GATT Art. XXIV,Bilateral; One Party is an RTA,Europe,No,Yes,en,142.0
130,EU - Iceland,"['AUT', 'BEL', 'BGR', 'CYP', 'CZE', 'DEU', 'DNK', 'ESP', 'EST', 'FIN', 'FRA', 'GBR', 'GRC', 'HRV', 'HUN', 'IRL', 'ISL', 'ITA', 'LTU', 'LUX', 'LVA', 'MLT', 'NLD', 'POL', 'PRT', 'ROU', 'SVK', 'SVN', 'SWE']",29,1972,1972-12-19,1973-04-01,In Force,Free Trade Agreement,GATT Art. XXIV,Bilateral; One Party is an RTA,Europe,No,Yes,en,143.0
131,EU - Switzerland - Liechtenstein,"['AUT', 'BEL', 'BGR', 'CHE', 'CYP', 'CZE', 'DEU', 'DNK', 'ESP', 'EST', 'FIN', 'FRA', 'GBR', 'GRC', 'HRV', 'HUN', 'IRL', 'ITA', 'LIE', 'LTU', 'LUX', 'LVA', 'MLT', 'NLD', 'POL', 'PRT', 'ROU', 'SVK', 'SVN', 'SWE']",30,1972,1972-07-22,1973-01-01,In Force,Free Trade Agreement,GATT Art. XXIV,Plurilateral; One Party is an RTA,Europe,No,Yes,en,144.0
132,Global System of Trade Preferences among Developing Countries (GSTP),"['ARG', 'BEN', 'BGD', 'BOL', 'BRA', 'CHL', 'CMR', 'COL', 'CUB', 'DZA', 'ECU', 'EGY', 'GHA', 'GIN', 'GUY', 'IDN', 'IND', 'IRN', 'IRQ', 'KOR', 'LBY', 'LKA', 'MAR', 'MEX', 'MMR', 'MOZ', 'MYS', 'NGA', 'NIC', 'PAK', 'PER', 'PHL', 'PRK', 'SDN', 'SGP', 'THA', 'TTO', 'TUN', 'TZA', 'VEN', 'VNM', 'ZWE']",42,1988,1988-04-13,1989-04-19,In Force,Partial Scope Agreement,Enabling Clause,Plurilateral,Africa; South America; West Asia; Caribbean; East Asia; Middle East; North America; Central America,Yes,No,en,146.0
133,Protocol on Trade Negotiations (PTN),"['BGD', 'BRA', 'CHL', 'EGY', 'ISR', 'KOR', 'MEX', 'PAK', 'PER', 'PHL', 'PRY', 'SRB', 'TUN', 'TUR', 'URY']",15,1971,1971-12-08,1973-02-11,In Force,Partial Scope Agreement,Enabling Clause,Plurilateral,West Asia; South America; Africa; Middle East; East Asia; North America; Europe,Yes,No,en,147.0
134,EU – Overseas Countries and Territories (OCT),"['AIA', 'ANT', 'ATF', 'AUT', 'BEL', 'BGR', 'CYM', 'CYP', 'CZE', 'DEU', 'DNK', 'ESP', 'EST', 'FIN', 'FLK', 'FRA', 'GBR', 'GRC', 'GRL', 'HRV', 'HUN', 'IOT', 'IRL', 'ITA', 'LTU', 'LUX', 'LVA', 'MLT', 'MSR', 'MYT', 'NCL', 'NLD', 'PCN', 'POL', 'PRT', 'PYF', 'ROU', 'SGS', 'SHN', 'SPM', 'SVK', 'SVN', 'SWE', 'TCA', 'VGB', 'WLF']",46,1970,1970-09-29,1971-01-01,In Force,Free Trade Agreement,GATT Art. XXIV,Plurilateral; One Party is an RTA,Caribbean; Europe; Africa; South America; Oceania; North America,Yes,No,en,148.0
135,EFTA - Accession of Iceland,"['CHE', 'ISL', 'LIE', 'NOR']",4,1969,1969-12-04,1970-03-01,In Force,Free Trade Agreement,GATT Art. XXIV,Plurilateral,Europe,No,Yes,en,149.0
136,Tripartite Agreement,[],0,1967,1967-12-23,1968-04-01,Inactive,Partial Scope Agreement,Enabling Clause,Plurilateral,Africa; West Asia; Europe,Yes,No,en,150.0
137,Central American Common Market (CACM),"['CRI', 'GTM', 'HND', 'NIC', 'PAN', 'SLV']",6,1960,1960-12-13,1961-06-04,In Force,Customs Union,GATT Art. XXIV,Plurilateral,Central America,No,Yes,es,151.0
138,European Free Trade Association (EFTA),"['CHE', 'ISL', 'LIE', 'NOR']",4,1960,1960-01-04,1960-05-03,In Force,Free Trade Agreement & Economic Integration Agreement,GATT Art. XXIV & GATS Art. V,Plurilateral,Europe,No,Yes,en,152.0
139,Pakistan - China,"['CHN', 'PAK']",2,2006,2006-11-24,2007-07-01,In Force,Free Trade Agreement & Economic Integration Agreement,GATT Art. XXIV & GATS Art. V,Bilateral,East Asia; West Asia,Yes,Yes,en,153.0
140,EU - Montenegro,"['AUT', 'BEL', 'BGR', 'CYP', 'CZE', 'DEU', 'DNK', 'ESP', 'EST', 'FIN', 'FRA', 'GBR', 'GRC', 'HRV', 'HUN', 'IRL', 'ITA', 'LTU', 'LUX', 'LVA', 'MLT', 'MNE', 'NLD', 'POL', 'PRT', 'ROU', 'SVK', 'SVN', 'SWE']",29,2007,2007-10-15,2008-01-01,In Force,Free Trade Agreement & Economic Integration Agreement,GATT Art. XXIV & GATS Art. V,Bilateral; One Party is an RTA,Europe,No,Yes,en,154.0
141,Australia - China,"['AUS', 'CHN']",2,2015,2015-06-17,2015-12-20,In Force,Free Trade Agreement & Economic Integration Agreement,GATT Art. XXIV & GATS Art. V,Bilateral,Oceania; East Asia,Yes,Yes,en,156.0
142,Australia - Chile,"['AUS', 'CHL']",2,2008,2008-07-30,2009-03-06,In Force,Free Trade Agreement & Economic Integration Agreement,GATT Art. XXIV & GATS Art. V,Bilateral,Oceania; South America,Yes,Yes,en,157.0
143,EFTA - Canada,"['CAN', 'CHE', 'ISL', 'LIE', 'NOR']",5,2008,2008-01-26,2009-07-01,In Force,Free Trade Agreement,GATT Art. XXIV,Bilateral; One Party is an RTA,North America; Europe,Yes,Yes,en,159.0
144,Canada - Colombia,"['CAN', 'COL']",2,2008,2008-11-21,2011-08-15,In Force,Free Trade Agreement & Economic Integration Agreement,GATT Art. XXIV & GATS Art. V,Bilateral,North America; South America,Yes,Yes,en,162.0
145,"EU - Korea, Republic of","['AUT', 'BEL', 'BGR', 'CYP', 'CZE', 'DEU', 'DNK', 'ESP', 'EST', 'FIN', 'FRA', 'GBR', 'GRC', 'HRV', 'HUN', 'IRL', 'ITA', 'KOR', 'LTU', 'LUX', 'LVA', 'MLT', 'NLD', 'POL', 'PRT', 'ROU', 'SVK', 'SVN', 'SWE']",29,2010,2010-10-06,2011-07-01,In Force,Free Trade Agreement & Economic Integration Agreement,GATT Art. XXIV & GATS Art. V,Bilateral; One Party is an RTA,Europe; East Asia,Yes,Yes,en,167.0
146,Canada - Rep. of Korea,"['CAN', 'KOR']",2,2014,2014-09-22,2015-01-01,In Force,Free Trade Agreement & Economic Integration Agreement,GATT Art. XXIV & GATS Art. V,Bilateral,North America; East Asia,Yes,Yes,en,168.0
147,"ASEAN - Korea, Republic of","['BRN', 'IDN', 'KHM', 'KOR', 'LAO', 'MMR', 'MYS', 'PHL', 'SGP', 'THA', 'VNM']",11,2006,2006-08-24,2010-01-01,In Force,Free Trade Agreement & Economic Integration Agreement,,Bilateral; One Party is an RTA,East Asia,No,Yes,en,169.0
148,Japan - Viet Nam,"['JPN', 'VNM']",2,2008,2008-12-25,2009-10-01,In Force,Free Trade Agreement & Economic Integration Agreement,GATT Art. XXIV & GATS Art. V,Bilateral,East Asia,No,Yes,en,170.0
149,Japan - Indonesia,"['IDN', 'JPN']",2,2007,2007-08-20,2008-07-01,In Force,Free Trade Agreement & Economic Integration Agreement,GATT Art. XXIV & GATS Art. V,Bilateral,East Asia,No,Yes,en,172.0
150,India - Japan,"['IND', 'JPN']",2,2011,2011-02-16,2011-08-01,In Force,Free Trade Agreement & Economic Integration Agreement,GATT Art. XXIV & GATS Art. V,Bilateral,West Asia; East Asia,Yes,Yes,en,173.0
151,Japan - Australia,"['AUS', 'JPN']",2,2014,2014-07-08,2015-01-15,In Force,Free Trade Agreement & Economic Integration Agreement,GATT Art. XXIV & GATS Art. V,Bilateral,Oceania; East Asia,Yes,Yes,en,175.0
152,ASEAN - Japan,"['BRN', 'IDN', 'JPN', 'KHM', 'LAO', 'MMR', 'MYS', 'PHL', 'SGP', 'THA', 'VNM']",11,2008,2008-03-26,2008-12-01,In Force,Free Trade Agreement,GATT Art. XXIV,Bilateral; One Party is an RTA,East Asia,No,Yes,en,176.0
153,EFTA - Colombia,"['CHE', 'COL', 'ISL', 'LIE', 'NOR']",5,2008,2008-11-25,2011-07-01,In Force,Free Trade Agreement & Economic Integration Agreement,GATT Art. XXIV & GATS Art. V,Bilateral; One Party is an RTA,South America; Europe,Yes,Yes,en,177.0
154,EFTA - Peru,"['CHE', 'ISL', 'LIE', 'NOR', 'PER']",5,2010,2010-06-24,2011-07-01,In Force,Free Trade Agreement,GATT Art. XXIV,Bilateral; One Party is an RTA,Europe; South America,Yes,Yes,en,178.0
155,Japan - Switzerland,"['CHE', 'JPN']",2,2009,2009-02-19,2009-09-01,In Force,Free Trade Agreement & Economic Integration Agreement,GATT Art. XXIV & GATS Art. V,Bilateral,East Asia; Europe,Yes,Yes,en,179.0
156,US - Peru,"['PER', 'USA']",2,2006,2006-04-12,2009-02-01,In Force,Free Trade Agreement & Economic Integration Agreement,GATT Art. XXIV & GATS Art. V,Bilateral,South America; North America,Yes,Yes,en,180.0
157,US - Panama,"['PAN', 'USA']",2,2007,2007-06-28,2012-10-31,In Force,Free Trade Agreement & Economic Integration Agreement,GATT Art. XXIV & GATS Art. V,Bilateral,Central America; North America,Yes,Yes,en,181.0
158,US - Oman,"['OMN', 'USA']",2,2006,2006-01-19,2009-01-01,In Force,Free Trade Agreement & Economic Integration Agreement,GATT Art. XXIV & GATS Art. V,Bilateral,Middle East; North America,Yes,Yes,en,182.0
159,"Korea, Republic of - US","['KOR', 'USA']",2,2007,2007-06-30,2012-03-15,In Force,Free Trade Agreement & Economic Integration Agreement,GATT Art. XXIV & GATS Art. V,Bilateral,East Asia; North America,Yes,Yes,en,183.0
160,Malaysia - Australia,"['AUS', 'MYS']",2,2012,2012-05-22,2013-01-01,In Force,Free Trade Agreement & Economic Integration Agreement,GATT Art. XXIV & GATS Art. V,Bilateral,Oceania; East Asia,Yes,Yes,en,186.0
161,Pakistan - Malaysia,"['MYS', 'PAK']",2,2007,2007-11-08,2008-01-01,In Force,Free Trade Agreement & Economic Integration Agreement,Enabling Clause & GATS Art. V,Bilateral,East Asia; West Asia,Yes,Yes,en,187.0
162,South Asian Free Trade Agreement (SAFTA),"['AFG', 'BGD', 'BTN', 'IND', 'LKA', 'MDV', 'NPL', 'PAK']",8,2004,2004-01-06,2006-01-01,In Force,Free Trade Agreement,Enabling Clause,Plurilateral,West Asia,No,No,en,188.0
163,Panama - Chile,"['CHL', 'PAN']",2,2006,2006-06-27,2008-03-07,In Force,Free Trade Agreement & Economic Integration Agreement,GATT Art. XXIV & GATS Art. V,Bilateral,South America; Central America,Yes,Yes,es,189.0
164,African Common Market,[],0,1962,1962-04-01,1963-07-01,Inactive,Customs Union,GATT Art. XXIV,Plurilateral,Africa,No,No,en,190.0
165,Albania - Bosnia and Herzegovina,[],0,2003,2003-04-28,2004-12-01,Inactive,Free Trade Agreement,GATT Art. XXIV,Bilateral,Europe,No,No,en,191.0
166,Albania - Bulgaria,[],0,2003,2003-03-26,2003-09-01,Inactive,Free Trade Agreement,GATT Art. XXIV,Bilateral,Europe,No,Yes,en,192.0
167,Albania - Former Yugoslav Republic of Macedonia,[],0,2002,2002-03-29,2002-07-01,Inactive,Free Trade Agreement,GATT Art. XXIV,Bilateral,Europe,No,Yes,en,193.0
168,Albania - Moldova,[],0,2003,2003-11-13,2004-11-01,Inactive,Free Trade Agreement,GATT Art. XXIV,Bilateral,Europe; Commonwealth of Independent States (CIS),Yes,Yes,en,194.0
169,Albania - Romania,[],0,2003,2003-06-01,2004-01-01,Inactive,Free Trade Agreement,GATT Art. XXIV,Bilateral,Europe,No,Yes,en,195.0
170,Albania - Serbia and Montenegro,[],0,2003,2003-11-13,2004-09-01,Inactive,Free Trade Agreement,GATT Art. XXIV,Plurilateral,Europe,No,No,en,196.0
171,Albania - UNMIC/Kosovo,[],0,2003,2003-07-07,2003-10-01,Inactive,Free Trade Agreement,GATT Art. XXIV,Bilateral,Europe,No,No,en,197.0
172,Arab Common Market,[],0,1964,1964-08-13,1965-01-01,Inactive,Customs Union,GATT Art. XXIV,Plurilateral,Africa; Middle East,Yes,No,en,198.0
173,Arusha  Agreement,[],0,1969,1969-09-24,1971-01-01,Inactive,Free Trade Agreement,GATT Art. XXIV,Plurilateral,Europe; Africa,Yes,Yes,en,199.0
174,Australia - New Zealand Free Trade Agreement,[],0,1965,1965-08-31,1966-01-01,Inactive,Free Trade Agreement,GATT Art. XXIV,Bilateral,Oceania,No,Yes,en,200.0
175,Borneo Free Trade Area,['MYS'],1,1961,1961-10-24,1962-01-01,Inactive,Free Trade Agreement,GATT Art. XXIV,,,,,en,201.0
176,Bulgaria - Bosnia and Herzegovina,[],0,2003,2003-10-16,2004-12-01,Inactive,Free Trade Agreement,GATT Art. XXIV,Bilateral,Europe,No,No,en,202.0
177,Bulgaria - Estonia,[],0,2001,2001-12-11,2002-01-01,Inactive,Free Trade Agreement,GATT Art. XXIV,Bilateral,Europe,No,Yes,en,203.0
178,Bulgaria - Former Yugoslav Republic of Macedonia,[],0,1999,1999-10-13,2000-01-01,Inactive,Free Trade Agreement,GATT Art. XXIV,Bilateral,Europe,No,Yes,en,204.0
179,Bulgaria - Israel,[],0,2001,2001-06-08,2002-01-01,Inactive,Free Trade Agreement,GATT Art. XXIV,Bilateral,Europe; Middle East,Yes,Yes,en,205.0
180,Bulgaria - Latvia,[],0,2002,2002-10-16,2003-04-01,Inactive,Free Trade Agreement,GATT Art. XXIV,Bilateral,Europe,No,Yes,en,206.0
181,Bulgaria - Lithuania,[],0,2001,2001-05-08,2002-03-01,Inactive,Free Trade Agreement,GATT Art. XXIV,Bilateral,Europe,No,Yes,en,207.0
182,Bulgaria - Serbia and Montenegro,[],0,2003,2003-11-13,2004-06-01,Inactive,Free Trade Agreement,GATT Art. XXIV,Plurilateral,Europe,No,No,en,208.0
183,Bulgaria - Slovak Republic Free Trade Agreement,[],0,1995,1995-12-08,1996-03-11,Inactive,Free Trade Agreement,GATT Art. XXIV,Bilateral,Europe,No,Yes,en,209.0
184,Bulgaria - Slovenia,[],0,1996,1996-11-22,1997-01-01,Inactive,Free Trade Agreement,GATT Art. XXIV,Bilateral,Europe,No,Yes,en,210.0
185,Bulgaria - Turkey,[],0,1998,1998-07-11,1999-01-01,Inactive,Free Trade Agreement,GATT Art. XXIV,Bilateral,Europe,No,Yes,en,211.0
186,Canada - US Free Trade Agreement (CUSFTA),[],0,1988,1988-01-02,1989-01-01,Inactive,Free Trade Agreement,GATT Art. XXIV,Bilateral,North America,No,Yes,en,212.0
187,Caribbean Free Trade Association (CARIFTA),[],0,1965,1965-12-15,1968-05-01,Inactive,Free Trade Agreement,GATT Art. XXIV,Plurilateral,Caribbean; South America,Yes,No,en,213.0
188,Central American Free Trade Area,[],0,1958,1958-06-10,1959-06-02,Inactive,Free Trade Agreement,GATT Art. XXIV,Plurilateral,Central America,No,Yes,en,214.0
189,Central European Free Trade Agreement (CEFTA),[],0,1992,1992-12-21,1993-03-01,Inactive,Free Trade Agreement,GATT Art. XXIV,Plurilateral,Europe,No,Yes,en,215.0
190,Central European Free Trade Agreement (CEFTA) - Accession of Bulgaria,[],0,1998,1998-07-17,1999-01-01,Inactive,Free Trade Agreement,GATT Art. XXIV,Plurilateral,Europe,No,Yes,en,216.0
191,Central European Free Trade Agreement (CEFTA) - Accession of Romania,[],0,1997,1997-04-12,1997-07-01,Inactive,Free Trade Agreement,GATT Art. XXIV,Plurilateral,Europe,No,Yes,en,217.0
192,Central European Free Trade Agreement (CEFTA) - Accession of Slovenia,[],0,1995,1995-11-25,1996-01-01,Inactive,Free Trade Agreement,GATT Art. XXIV,Plurilateral,Europe,No,Yes,en,218.0
193,Croatia - Albania,[],0,2002,2002-09-27,2003-06-01,Inactive,Free Trade Agreement,GATT Art. XXIV,Bilateral,Europe,No,Yes,en,219.0
